k_h
"{'marvel comics': 3, 'based on comic': 3, 'second part': 3, 'multiverse': 3, 'superhero': 2, 'miles morales character': 2, 'spider man character': 2, 'gwen stacy character': 2, 'spider woman character': 2, 'mexican': 2, 'gender in title': 2, 'based on comic book': 1, 'sequel': 1, 'sony spiderverse': 1, 'cinematic universe': 1, 'cgi animation': 1, 'psychotronic film': 1, 'columbia tristar': 1, 'marvel': 1, 'heroine': 1, 'hero': 1, 'villain': 1, 'fight': 1, 'city': 1, 'computer animation': 1, 'peter parker character': 1, 'spider man 2099 character': 1, 'jessica drew character': 1, 'supervillain': 1, 'teenage superhero': 1, 'masked hero': 1, 'superheroine': 1, 'teenage boy': 1, 'cg animation': 1, 'superhero action': 1, 'superhero fantasy': 1, 'superhero sci fi': 1, 'battle': 1, '3d animation': 1, 'african american': 1, 'shared universe': 1, 'animal in title': 1, 'masked superhero': 1, 'six word title': 1, 'colon in title': 1, 'new york city': 1, 'vulture character': 1, 'spider': 1, 'parallel universe': 1, 'alternate universe': 1}"
"{'2000s': 1, 'university': 1, 'college student': 1, 'student': 1, 'college': 1, 'timeframe 2000s': 1, '21st century': 1, 'timeframe 21st century': 1, 'aristocratic man': 1, 'schoolmate': 1, 'male nudity': 1, 'male frontal nudity': 1, 'nude dancing': 1, 'man dances naked': 1, 'pubic hair': 1, 'male pubic hair': 1, 'male full frontal nudity': 0}"
"{'sequel': 0, 'second part': 0, 'vacation': 0, 'friend': 0, 'hulu': 0, 'travel': 0, 'trip': 0, 'island': 0, 'life': 0, 'number 2 in title': 0, 'casino': 0, 'baby': 0, 'snorkeling': 0, 'honeymoon': 0, 'paper lantern': 0, 'surfing': 0, 'airplane': 0, 'airport': 0, 'reference to pablo escobar': 0, 'reference to john rambo': 0, 'cuba': 0, 'airplane crash': 0}"
"{'spy': 2, 'ethan hunt character': 1, 'one person army action': 1, 'artificial intelligence': 1, 'train': 1, 'mountain': 1, 'parachute': 1, 'mission impossible': 1, 'luther stickell character': 1, 'sequel': 0, 'seventh part': 0, 'paramount': 0, 'spy action': 0, 'train wreck': 0, 'urban adventure': 0, 'norway': 0, 'spy thriller': 0, 'epic action': 0, 'epic adventure': 0, 'venice italy': 0, 'prologue': 0, 'scene before opening credits': 0, 'opening action scene': 0, 'action hero': 0, 'tough guy': 0, 'warrior': 0, 'secret agent': 0, 'undercover': 0, 'undercover agent': 0, 'espionage': 0, 'spy mission': 0, 'mission': 0, 'spy hero': 0, 'hero': 0, 'heroism': 0, 'bravery': 0, 'courage': 0, 'cia': 0, 'cia agent': 0, 'rome italy': 0, 'bering sea': 0, 'alps': 0, 'austrian alps': 0, 'austria': 0, 'swiss': 0, 'abu dhabi united arab emirates': 0, 'orient express': 0, 'train accident': 0, 'train driver': 0, 'fire extinguisher': 0}"
"{'love': 1, 'korea': 1, 'city': 1, 'korean abroad': 1, 'travel': 1, 'new york city': 1, 'video chat': 1, 'male and female protagonists': 1, 'childhood': 0, 'life': 0, 'friend': 0, 'husband wife relationship': 0, 'father': 0, 'mother': 0, 'children': 0, 'domestic drama': 0, 'male female relationship': 0, 'two word title': 0, 'written by director': 0, 'title directed by female': 0, 'title written by female': 0, 'statue of liberty new york city': 0, '21st century': 0, 'pillow talk': 0, 'sad ending': 0, 'tearjerker romance': 0, 'love triangle': 0, 'emigration': 0, 'cross cultural relationship': 0, 'writer': 0, 'in yeon': 0, 'korean american': 0, 'period romance': 0, 'period drama': 0, 'reincarnation': 0, '2000s': 0, '2010s': 0, '2020s': 0}"
"{'arizona desert': 7, 'desert': 7, '1950s': 6, 'astronomy': 5, 'stargazer': 5, 'love': 4, 'small town': 4, 'military': 4, 'asteroid': 4, 'desert town': 4, 'mechanic': 3, 'car breakdown': 3, 'alien encounter': 3, 'diner': 3, 'telephone booth': 3, 'taking a photograph': 3, 'quirky comedy': 3, 'alien': 3, 'photographer': 3, 'ensemble cast': 3, 'play': 3, 'actress': 3, 'written by director': 4, 'female nudity': 7, 'year 1955': 2, 'science fair': 2, 'nuclear explosion': 2, 'jet pack': 2, 'unidentified flying object': 2, 'precocious child': 2, 'father son relationship': 2, 'nuclear test': 2, 'fictional play': 2, 'train': 2, 'little girl': 2, 'mushroom cloud': 2, 'gas station': 2, 'tupperware': 2, 'male female relationship': 2, 'quarantine': 2, 'pay phone': 2, 'surreal comedy': 2, 'alternative comedy': 2, 'satire comedy': 2, 'domestic drama': 2, 'psychological drama': 2, 'showbiz comedy': 2, 'showbiz drama': 2, 'period romance': 2, 'alien invasion sci fi': 2}"
"{'dog': 2, 'revenge': 2, 'swearing': 2, 'dog penis': 2, 'crude humor comedy': 1, 'genital dismemberment': 1, 'live action and animation': 0, 'animal': 0, 'profanity': 0, 'garden gnome': 0, 'beer': 0, 'ball': 0, 'mushroom': 0, 'stray dog': 0, 'stray pet': 0, 'human dog relationship': 0, 'human pet relationship': 0, 'human animal relationship': 0, 'pack of dogs': 0, 'dog humps an object': 0, 'pet and owner reunited': 0, 'abandoned pet': 0, 'abandoned dog': 0, 'revenge plot': 0, 'return home': 0, 'pet': 0, 'psychedelic mushroom trip': 0, 'drunk dog': 0, 'adult humor': 0, 'cg animation': 0, 'surreal comedy': 0, 'quest adventure': 0, 'f word': 0, 'buddy comedy': 0, 'talking animal': 0, 'pet owner relationship': 0, 'boston terrier': 0, 'border terrier': 0, 'butterfly': 0, 'tennis ball': 0, 'sofa': 0, 'binoculars': 0, 'animated sequence': 0, 'hallucination': 0, 'celebrity cameo': 0, 'gas station': 0, 'billboard': 0, 'dog urination': 0, 'dog humping': 0, 'great dane': 0}"
"{'aspiring porn star': 10, 'timeframe 1970s': 8, 'senile woman': 7, 'filming people having sex': 6, 'husband wife relationship': 6, 'serial killer': 6, 'televangelist': 6, 'characters murdered one by one': 5, 'sex without love': 5, 'barn': 5, 'farmhouse': 5, 'pier': 5, 'alligator': 5, 'old woman': 5, 'jealousy': 5, 'wearing underwear outside': 5, 'man walks outside wearing only underwear': 5, 'demented woman': 5, 'pumping gas': 5, 'gas pump': 5, 'woman swims nude': 5, 'watching someone through a window': 5, 'car in a swamp': 5, 'adult film director': 5, 'old age': 5, 'old age sex': 5, 'low budget filmmaking': 5, 'elderly killer': 5, 'aspiring pornographer': 4, 'porn producer': 4, 'black man white woman sex': 4, 'movie camera': 4, 'cow': 4, 'dead cow': 4, 'stepping on a nail': 4, 'stabbed in the eye': 4, 'cut finger': 4, 'run over with a van': 4, 'trapped in a cellar': 4, 'locked in a cellar': 4, 'female voyeur': 4, 'female pervert': 4, 'hiding under a bed': 4, 'swimming nude in a lake': 4, 'framed photograph': 4, 'woman sexually harasses a man': 4, 'lemonade': 4, 'drinking lemonade': 4, 'driving a van': 4, 'van': 4}"
"{'based on video game': 8, 'princess': 4, 'castle': 2, 'unlikely hero': 2, 'talking gorilla': 2, 'talking penguin': 2, 'anthropomorphic gorilla': 2, 'anthropomorphic turtle': 2, 'alternate world': 2, 'anthropomorphic penguin': 2, 'another world': 2, 'alternate universe': 2, 'banana peel': 2, 'alternate dimension': 2, 'plumber': 3, 'cgi animation': 3, 'computer animation': 3, 'princess peach character': 3, 'super mario character': 3, '2020s': 2, '3d animation': 2, 'luigi mario character': 2, 'cross dressing': 2, 'movie in title': 1, 'power': 1, 'hero': 1, 'villain': 1, 'evil': 1, 'nintendo': 1, 'brother brother relationship': 1, 'mushroom': 1, 'donkey kong character': 1, 'toad character': 1, 'rainbow road': 1, 'go kart racing': 1, 'yoshi character': 1, 'goomba': 1, 'koopa troopa': 1, 'rainbow': 1, 'diddy kong character': 1, 'dixie kong character': 1, 'singing': 1, 'piranha plant': 1, 'bomb': 1, 'fish out of water': 1, 'sibling relationship': 1, 'older brother younger brother relationship': 1, 'brooklyn new york city': 1, 'italian american': 1, 'tv commercial': 1}"
"{'disney': 3, 'pixar': 3, '3d animation': 3, 'fire': 2, 'water': 2, 'air': 2, 'city': 2, 'cgi animation': 2, 'interracial relationship': 2, 'interracial romance': 2, 'race relations': 2, 'gender identification': 2, '3d': 3, 'computer animation': 1, 'cg animation': 1, 'tearjerker': 1, 'elements of nature': 1, 'anthropomorphism': 1, 'earth': 1, 'elemental': 1, 'cloud': 1, 'fictional city': 1, 'one word title': 1, 'urban adventure': 1, 'discussions around current events': 1, 'cultural difference': 1, 'generational trauma': 1, 'social issues': 1, 'topical issues': 1, 'teen film': 1, 'love interest': 1, 'teen romance': 1, 'immigrant': 1, 'store': 1, 'father daughter relationship': 1, 'mother daughter relationship': 1, 'non binary character': 0, '3 dimensional': 0, 'north american animation': 0}"
